EVENT_ID,CZ_NAME_STR,COUNTY,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1176558,BENTON COUNTY LOWLANDS (ZONE),Benton,4/4/2024,2340,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,191137,Z,116,PQR,0,0,Mesonet,,,,,,,,,,,,,,,,,
1176893,BENTON COUNTY LOWLANDS (ZONE),Benton,4/17/2024,110,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,191141,Z,116,PQR,0,0,Mesonet,,,,,,,,,,,,,,,,,
970024,CASCADE FOOTHILLS IN LANE COUNTY (ZONE),Lane,6/26/2021,1200,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,158241,Z,12,PQR,0,0,Mesonet, , , , , , , , ,6/28/2021,1600, , , , ,"Very hot temperatures. There were three days with maximum temperatures greater than 95 degrees measured at several stations, and two consecutive days with temperatures greater than 100 degrees. Maximum temperatures peaked between 106 and 109 degrees on June 27 and June 28.","A high pressure heat dome over the region led to stretch of extreme heat, shattering records from June 26 through June 29. All time max temperatures were broken by 8 to 10 degrees. Widespread fatalities occurred due to the heat (123 in total), as many were without air-conditioning, as well as an increase in the number of drownings. Widespread closures and postponements of businesses and events also occurred. Multnomah County had the largest number of fatalities in the state with 73 deaths directly related to the heat.",37
981013,CASCADE FOOTHILLS IN LANE COUNTY (ZONE),Lane,8/11/2021,1400,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,161089,Z,12,PQR,0,0,Mesonet, , , , , , , , ,8/12/2021,2000, , , , ,A mesonet sensor (C4896) near Walterville reported high temperature of 100 degrees on the 11th and 101 degrees on the 12th.,"Hot weather began to develop August 9, peaking August 11-12, but temperatures continued above normal into the weekend. Peak afternoon temperatures of 100 to 105 degrees drove people to seek relief in or near bodies of water. Heat caused slowdowns on the MAX light rail (Portland metro area) systems, and some businesses did close due to the heat. Cooling shelters were opened in several counties.",63
1025872,CASCADE FOOTHILLS IN LANE COUNTY (ZONE),Lane,4/10/2022,2000,Winter Storm, , ,0,0,0,0,OR,PST-8, ,166832,Z,12,PQR,0,0,SNOTEL,,,,,,,,,,,,,,,,,
1169873,CASCADE FOOTHILLS IN LANE COUNTY (ZONE),Lane,1/6/2024,800,Winter Storm, , ,0,0,0,0,OR,PST-8, ,190301,Z,12,PQR,0,0,SNOTEL,,,,,,,,,,,,,,,,,
1170689,CASCADE FOOTHILLS IN LANE COUNTY (ZONE),Lane,1/9/2024,600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,188762,Z,12,PQR,0,0,Mesonet,,,,,,,,,,,,,,,,,
1170704,CASCADE FOOTHILLS IN LANE COUNTY (ZONE),Lane,1/11/2024,600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,188523,Z,12,PQR,0,0,Mesonet,,,,,,,,,,,,,,,,,
1170705,CASCADE FOOTHILLS IN LANE COUNTY (ZONE),Lane,1/11/2024,600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,188523,Z,12,PQR,0,0,Mesonet,,,,,,,,,,,,,,,,,
981014,CASCADES IN LANE COUNTY (ZONE),Lane,8/11/2021,1400,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,161089,Z,13,PQR,0,0,Mesonet, , , , , , , , ,8/12/2021,2000, , , , ,High temperature in the lower elevations of area was around 100 degrees on the 11th and 12th. The high temperature near Blue River (OD159) along the McKenzie Highway was 104 degrees on the 11th and 102 degrees on the 12th.,"Hot weather began to develop August 9, peaking August 11-12, but temperatures continued above normal into the weekend. Peak afternoon temperatures of 100 to 105 degrees drove people to seek relief in or near bodies of water. Heat caused slowdowns on the MAX light rail (Portland metro area) systems, and some businesses did close due to the heat. Cooling shelters were opened in several counties.",69
946307,CASCADES IN LANE COUNTY (ZONE),Lane,2/25/2021,1300,Winter Storm, , ,0,0,0,0,OR,PST-8, ,156616,Z,13,PQR,0,0,Public,,,,,,,,,,,,,,,,,
1025884,CASCADES IN LANE COUNTY (ZONE),Lane,4/4/2022,100,Winter Storm, , ,0,0,0,0,OR,PST-8, ,169277,Z,13,PQR,0,0,SNOTEL,,,,,,,,,,,,,,,,,
1025871,CASCADES IN LANE COUNTY (ZONE),Lane,4/10/2022,2000,Winter Storm, , ,0,0,0,0,OR,PST-8, ,166832,Z,13,PQR,0,0,SNOTEL,,,,,,,,,,,,,,,,,
1025881,CASCADES IN LANE COUNTY (ZONE),Lane,4/12/2022,600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,169279,Z,13,PQR,0,0,SNOTEL,,,,,,,,,,,,,,,,,
1169875,CASCADES IN LANE COUNTY (ZONE),Lane,1/6/2024,300,Winter Storm, , ,0,0,0,0,OR,PST-8, ,190301,Z,13,PQR,0,0,SNOTEL,,,,,,,,,,,,,,,,,
1170695,CASCADES IN LANE COUNTY (ZONE),Lane,1/11/2024,600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,188523,Z,13,PQR,0,0,Mesonet,,,,,,,,,,,,,,,,,
